1	51,48,80,39,17,91,73,14,50,95
2	67,20,98,8,30,51,88,40,47,19
3	75,93,9,77,53,93,70,63,67,32
4	32,82,60,87,97,74,72,67,20,15
5	49,16,6,43,12,61,100,73,52,44
6	75,94,51,79,80,15,94,31,41,98
7	52,24,14,5,55,80,50,31,69,67
8	98,69,59,96,32,46,94,43,78,81
9	63,14,37,59,48,31,38,49,65,81
10	59,81,66,97,77,95,59,82,70,10
11	64,81,30,83,34,96,11,70,68,60
12	10,98,69,8,41,44,10,34,100,83
13	83,19,39,47,61,95,53,52,20,97
14	47,71,77,51,31,27,49,41,51,20
15	8,25,29,24,54,67,45,34,40,46
16	26,75,46,50,11,79,10,42,77,45
17	58,14,19,66,57,22,92,41,98,53
18	68,10,39,85,15,69,71,9,68,18
19	88,30,34,97,22,47,83,74,13,20
20	92,44,18,37,47,27,58,41,74,50
21	96,17,29,62,40,20,90,72,46,70
22	31,32,73,58,78,81,81,55,92,59
23	41,6,12,72,87,89,59,49,89,78
24	80,96,35,77,76,49,81,79,30,74
25	30,49,61,96,46,47,15,9,33,72
26	3,36,70,69,44,22,57,48,40,52
27	5,15,36,28,78,69,30,41,77,88
28	66,93,53,52,69,34,65,81,50,31
29	56,27,66,45,60,73,9,64,45,38
30	10,33,46,57,21,7,8,13,18,55
31	56,89,50,28,92,11,81,54,84,56
32	48,60,66,21,85,8,87,78,13,12
33	49,80,78,7,6,18,60,15,99,52
34	55,73,52,57,13,53,84,19,44,57
35	25,73,59,32,19,77,27,65,67,97
36	23,63,47,37,61,51,22,50,26,45
37	94,6,85,89,40,67,42,41,37,40
38	81,30,99,9,12,62,74,71,24,47
39	31,72,36,57,49,57,82,33,93,71
40	20,49,4,78,96,37,45,14,92,31
41	60,8,34,68,90,38,70,19,15,47
42	44,96,8,6,54,39,21,55,16,25
43	81,99,94,35,63,96,16,86,70,100
44	6,8,46,100,56,67,57,17,61,64
45	71,94,58,76,10,18,61,87,70,27
46	94,26,10,56,15,58,22,94,74,53
47	92,52,39,46,56,85,44,42,41,45
48	46,75,90,74,79,20,57,55,11,64
49	39,46,98,33,35,51,35,60,74,94
50	97,14,71,34,27,10,91,71,90,75
51	69,86,89,31,81,85,48,96,80,68
52	50,66,75,39,82,39,79,98,37,27
53	40,29,88,59,46,83,98,45,18,62
54	74,65,60,56,29,6,57,46,27,27
55	81,48,80,59,44,28,14,90,16,79
56	17,7,32,11,91,17,49,50,56,93
57	59,54,76,52,44,81,67,77,92,24
58	8,63,11,98,48,96,84,38,17,17
59	70,57,81,60,21,64,26,89,65,81
60	20,98,48,32,57,82,72,80,93,80
61	42,18,5,29,67,31,34,21,92,31
62	12,69,26,78,12,10,50,85,57,72
63	67,9,8,8,44,95,54,19,33,99
64	11,61,44,39,86,9,82,41,81,34
65	74,42,45,86,75,94,76,52,26,71
66	87,7,70,25,60,98,47,75,35,20
67	19,50,71,94,48,92,74,58,67,75
68	21,25,25,21,26,54,40,67,53,84
69	2,17,58,66,94,49,34,95,57,61
70	74,30,90,99,43,73,71,67,25,20
71	63,23,91,80,41,30,29,15,86,43
72	60,44,82,26,22,44,32,73,37,66
73	47,95,37,32,46,94,38,84,76,19
74	30,19,10,47,68,61,56,11,77,63
75	7,73,34,61,7,92,20,10,23,62
76	70,5,83,62,85,66,23,28,29,64
77	12,15,47,11,78,20,36,99,55,94
78	94,7,8,45,62,53,35,76,23,73
79	23,7,73,37,66,7,43,48,97,52
80	97,32,94,92,89,28,83,81,58,48
81	12,57,96,83,66,98,65,23,76,19
82	86,55,47,12,19,95,58,50,69,38
83	59,53,74,38,85,90,82,60,48,68
84	19,58,52,76,36,91,71,8,87,39
85	96,77,43,99,41,88,59,36,31,30
86	8,10,70,60,66,80,85,85,100,24
87	52,49,38,24,58,7,24,99,72,30
88	17,37,36,32,83,85,77,72,27,87
89	44,11,45,7,34,34,21,68,66,97
90	98,46,50,100,92,100,88,85,23,31
91	42,63,65,70,85,97,32,74,40,98
92	55,53,36,21,55,42,11,16,20,98
93	78,74,74,61,82,61,42,97,50,71
94	60,31,49,96,79,51,50,20,83,24
95	6,70,4,81,67,34,25,81,59,73
96	40,44,94,40,28,55,88,87,77,90
97	93,82,82,23,89,72,20,52,53,84
98	20,82,54,87,52,98,100,40,40,87
99	74,62,66,35,58,62,8,81,57,72
100	88,12,20,16,39,66,41,17,21,83
101	30,88,67,61,100,32,34,10,86,83
102	49,85,95,14,95,52,36,41,40,68
103	1,53,54,83,55,73,69,15,94,74
104	23,15,100,82,72,46,77,23,99,58
105	88,59,19,83,21,73,77,35,23,86
106	60,20,69,90,85,39,70,15,22,99
107	58,87,27,41,71,54,64,52,9,30
108	65,97,45,9,34,53,93,36,87,15
109	62,57,40,47,56,59,50,38,9,41
110	55,89,37,7,90,26,26,24,88,42
111	90,81,51,22,14,90,85,31,79,17
112	74,28,88,16,14,53,93,62,17,42
113	86,40,32,78,12,47,92,59,65,39
114	73,61,19,76,8,20,29,32,36,41
115	86,39,77,6,19,70,35,80,73,63
116	100,75,31,87,45,75,58,57,87,13
117	85,50,89,33,54,77,93,61,70,34
118	61,15,90,31,96,65,60,58,94,46
119	77,46,35,31,37,90,54,45,39,75
120	98,68,24,33,69,25,73,100,9,59
121	94,56,74,12,75,49,49,86,77,51
122	94,50,3,61,52,46,38,67,53,25
123	74,72,60,76,31,60,55,41,89,26
124	49,29,11,95,86,98,72,89,18,86
125	69,39,52,69,29,48,79,92,84,55
126	17,75,91,76,58,79,23,15,26,21
127	53,41,50,98,93,81,57,29,49,31
128	8,100,58,39,24,56,35,11,70,48
129	66,31,17,59,14,61,24,23,60,16
130	54,48,51,95,14,53,53,64,22,32
131	85,88,22,94,31,58,16,85,42,12
132	57,8,84,53,31,97,52,86,34,99
133	81,73,30,98,86,83,60,21,99,89
134	2,38,47,24,74,83,18,88,50,30
135	46,63,56,76,79,92,9,23,12,58
136	31,45,91,82,65,64,52,53,92,48
137	25,94,9,24,81,45,94,19,51,93
138	49,90,21,61,63,51,93,20,37,26
139	71,82,50,90,33,99,75,81,14,74
140	2,92,72,78,58,57,35,68,90,48
141	4,86,69,51,81,67,52,40,56,22
142	61,9,37,93,34,34,37,50,97,13
143	37,34,74,93,88,96,92,43,12,84
144	54,42,47,48,91,68,16,99,98,95
145	60,70,93,79,92,73,38,66,55,100
146	68,82,4,100,30,42,75,58,58,48
147	1,46,45,91,94,37,84,23,40,50
148	13,95,18,44,6,57,53,20,86,84
149	85,86,92,64,44,79,15,48,63,74
150	22,25,94,93,47,17,26,63,27,79
151	13,8,98,35,98,18,16,57,64,91
152	52,75,27,41,55,75,67,65,14,50
153	44,35,61,88,88,53,36,43,40,77
154	27,16,64,64,100,61,14,81,61,95
155	48,8,39,78,48,81,21,78,46,70
